source,target,out_provider,in_provider,weight
RTH,RTE,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,16
RXN,RRF,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,"WRIGHTINGTON, WIGAN AND LEIGH TEACHING HOSPITALS NHS FOUNDATION TRUST",7
RJZ,RAP,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,26
RXP,RTR,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,1871
R0A,RWJ,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,STOCKPORT NHS FOUNDATION TRUST,220
RTH,R1K,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,3
RRV,R1H,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,BARTS HEALTH NHS TRUST,278
RFF,RWY,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,7
RCF,RWY,AIREDALE NHS FOUNDATION TRUST,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,35
RFS,RX1,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,150
RJ1,RPA,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,MEDWAY NHS FOUNDATION TRUST,40
RQX,RQM,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,9
RD1,RNZ,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,SALISBURY NHS FOUNDATION TRUST,195
RX1,RGT,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,83
RRV,RVR,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,1
RA7,RLQ,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,WYE VALLEY NHS TRUST,1
RJ1,RQW,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,2
RKB,RGN,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,2
RAL,RF4,ROYAL FREE LONDON NHS FOUNDATION TRUST,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",1
RH8,RKB,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,5
RJZ,RD8,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,1
RTG,RL4,DERBY HOSPITALS NHS FOUNDATION TRUST,THE ROYAL WOLVERHAMPTON NHS TRUST,10
RR7,RXP,GATESHEAD HEALTH NHS FOUNDATION TRUST,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,28
RA9,RQ3,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,3
RNS,RGN,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,1
RTG,RR8,DERBY HOSPITALS NHS FOUNDATION TRUST,LEEDS TEACHING HOSPITALS NHS TRUST,1
RXN,RTD,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,2
RVV,R0A,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,3
RWF,RTX,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,1
R0A,RRK,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,28
RXF,RCF,MID YORKSHIRE TEACHING NHS TRUST,AIREDALE NHS FOUNDATION TRUST,4
RWJ,RQM,STOCKPORT NHS FOUNDATION TRUST,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,1
RM3,R0A,SALFORD ROYAL NHS FOUNDATION TRUST,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,8367
RJZ,RRV,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,15
RRK,RJE,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,86
R1K,RAX,LONDON NORTH WEST HEALTHCARE NHS TRUST,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,5
RC9,RAP,LUTON AND DUNSTABLE HOSPITAL NHS FOUNDATION TRUST,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,6
RGT,RRK,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,67
RF4,RWF,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,9
RHM,RN5,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,457
RTG,RJE,DERBY HOSPITALS NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,179
R1K,RAL,LONDON NORTH WEST HEALTHCARE NHS TRUST,ROYAL FREE LONDON NHS FOUNDATION TRUST,376
RHU,RGT,PORTSMOUTH HOSPITALS NHS TRUST,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,8
REM,RWW,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,5
RTE,RKB,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,74
RM3,RXR,SALFORD ROYAL NHS FOUNDATION TRUST,EAST LANCASHIRE HOSPITALS NHS TRUST,14
RGN,R1H,NORTH WEST ANGLIA NHS FOUNDATION TRUST,BARTS HEALTH NHS TRUST,28
RHU,R1F,PORTSMOUTH HOSPITALS NHS TRUST,ISLE OF WIGHT NHS TRUST,60
RTH,RK9,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,3
RHM,RKB,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,10
RTG,RBK,DERBY HOSPITALS NHS FOUNDATION TRUST,WALSALL HEALTHCARE NHS TRUST,35
RAX,RF4,KINGSTON HOSPITAL NHS TRUST,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",3
RRV,RDU,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,14
RXP,RF4,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",1
RRF,RN7,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",DARTFORD AND GRAVESHAM NHS TRUST,1
RGT,RF4,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",4
RXL,RVY,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,2
R1K,RXQ,LONDON NORTH WEST HEALTHCARE NHS TRUST,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,2
R1H,RTK,BARTS HEALTH NHS TRUST,ASHFORD AND ST. PETER'S HOSPITALS NHS FOUNDATION TRUST,5
RNN,RN5,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,1
R1H,RRV,BARTS HEALTH NHS TRUST,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,101
RGT,RDE,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,767
RWD,RXQ,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,1
RWG,RAL,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,ROYAL FREE LONDON NHS FOUNDATION TRUST,252
RHU,RN5,PORTSMOUTH HOSPITALS NHS TRUST,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,50
RYJ,RHW,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ROYAL BERKSHIRE NHS FOUNDATION TRUST,2
RVJ,RYR,NORTH BRISTOL NHS TRUST,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,1
RRK,RF4,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",2
RXQ,RWG,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,3
RTD,RQ3,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,3
RA2,RJ1,ROYAL SURREY NHS FOUNDATION TRUST,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,505
REF,RTX,ROYAL CORNWALL HOSPITALS NHS TRUST,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,2
RQX,RRV,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,29
RHM,RH5,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,SOMERSET NHS FOUNDATION TRUST,9
RKB,RXK,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,1
RC9,RGN,LUTON AND DUNSTABLE HOSPITAL NHS FOUNDATION TRUST,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,10
RCD,RP5,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,2
RN3,RJ7,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1
RAP,RGT,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,9
RGP,RF4,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",2
RCU,RFS,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,17
RLQ,RA7,WYE VALLEY NHS TRUST,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,3
RWG,RQX,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,1
RXN,RJR,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,1
RH8,RAP,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,2
RTD,R0A,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,22
RCD,RTD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,4
RH8,RXC,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,EAST SUSSEX HEALTHCARE NHS TRUST,1
RQX,R1H,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,BARTS HEALTH NHS TRUST,1330
RKB,RWP,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,41
RPA,RTH,MEDWAY NHS FOUNDATION TRUST,OXFORD UNIVERSITY HOSPITALS NHS TRUST,1
RF4,RQX,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",HOMERTON HEALTHCARE NHS FOUNDATION TRUST,15
REF,RWF,ROYAL CORNWALL HOSPITALS NHS TRUST,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,3
R1H,RXQ,BARTS HEALTH NHS TRUST,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,2
RQX,RJ1,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,278
RNZ,R1F,SALISBURY NHS FOUNDATION TRUST,ISLE OF WIGHT NHS TRUST,4
RPA,RYJ,MEDWAY NHS FOUNDATION TRUST,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,4
RTX,RNN,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,CUMBRIA PARTNERSHIP NHS FOUNDATION TRUST,858
RFS,RTD,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,2
RHM,RXQ,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,5
RQM,RN7,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,DARTFORD AND GRAVESHAM NHS TRUST,1
RQX,RKE,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,WHITTINGTON HEALTH NHS TRUST,456
RTR,RWY,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,3
RWE,R1H,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,BARTS HEALTH NHS TRUST,3
RXQ,RK9,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,1
RR8,RVW,LEEDS TEACHING HOSPITALS NHS TRUST,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,2
RXL,RJ1,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,13
RDU,RTD,FRIMLEY HEALTH NHS FOUNDATION TRUST,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,1
R1K,RD1,LONDON NORTH WEST HEALTHCARE NHS TRUST,ROYAL UNITED HOSPITAL BATH NHS TRUST,1
R1H,RTH,BARTS HEALTH NHS TRUST,OXFORD UNIVERSITY HOSPITALS NHS TRUST,3
RTF,RTD,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,7506
RNS,RKB,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,399
RJ1,RC9,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,16
RJ1,RTP,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,SURREY AND SUSSEX HEALTHCARE NHS TRUST,36
RN7,RTK,DARTFORD AND GRAVESHAM NHS TRUST,ASHFORD AND ST. PETER'S HOSPITALS NHS FOUNDATION TRUST,9
REF,RRK,ROYAL CORNWALL HOSPITALS NHS TRUST,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,40
RJ1,RKE,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,WHITTINGTON HEALTH NHS TRUST,154
RJZ,RWH,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,6
RGT,RJ1,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,224
RAJ,RJZ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,77
RR8,RTE,LEEDS TEACHING HOSPITALS NHS TRUST,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,1
RXQ,RRV,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,4
REM,RXN,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,3
R1K,RN3,LONDON NORTH WEST HEALTHCARE NHS TRUST,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,1
RCF,RX1,AIREDALE NHS FOUNDATION TRUST,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,5
RYJ,RHQ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,14
RD8,RH8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,1
RBT,RJN,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,EAST CHESHIRE NHS TRUST,3
RHM,RCD,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,1
RHM,R1H,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,BARTS HEALTH NHS TRUST,1
R0A,RXF,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,MID YORKSHIRE HOSPITALS NHS TRUST,5
RHQ,RM1,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3
RHQ,RYR,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,1
RVY,R0A,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,16
RNN,RVY,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,1
R0D,R1F,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,ISLE OF WIGHT NHS TRUST,4
RAX,RYJ,KINGSTON HOSPITAL NHS TRUST,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,13
RCF,RCD,AIREDALE NHS FOUNDATION TRUST,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,3
RH5,RN3,SOMERSET PARTNERSHIP NHS FOUNDATION TRUST,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,1
RWF,RQM,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,2
RDU,RF4,FRIMLEY HEALTH NHS FOUNDATION TRUST,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",1
REF,RFR,ROYAL CORNWALL HOSPITALS NHS TRUST,THE ROTHERHAM NHS FOUNDATION TRUST,1
RK5,RRK,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,12
RLT,RR8,GEORGE ELIOT HOSPITAL NHS TRUST,LEEDS TEACHING HOSPITALS NHS TRUST,1
RGT,R1K,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,6
RYR,RPA,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,MEDWAY NHS FOUNDATION TRUST,12
RQM,R1H,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,BARTS HEALTH NHS TRUST,269
RCB,RCU,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,190
R0D,RYJ,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,3
RWP,RCD,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,1
RM3,RXL,SALFORD ROYAL NHS FOUNDATION TRUST,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,1
R1F,RF4,ISLE OF WIGHT NHS TRUST,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",1
R1F,RJ1,ISLE OF WIGHT NHS TRUST,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,13
RP5,RXF,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,MID YORKSHIRE HOSPITALS NHS TRUST,13
RQX,RR8,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,LEEDS TEACHING HOSPITALS NHS TRUST,1
RGP,RTF,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,1
RQ3,RAJ,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,2
RK9,RJ7,PLYMOUTH HOSPITALS NHS TRUST,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1
RRV,RWH,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,410
RWF,RJZ,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,3849
RNZ,R0D,SALISBURY NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,53
RDU,RXQ,FRIMLEY HEALTH NHS FOUNDATION TRUST,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,207
RAX,RQM,KINGSTON HOSPITAL NHS TRUST,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,9
RKE,RJ7,THE WHITTINGTON HOSPITAL NHS TRUST,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3
RJR,RM3,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,4
RVY,RRK,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,8
RWH,RJ7,EAST AND NORTH HERTFORDSHIRE NHS TRUST,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2
RJ1,RN3,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,19
R0B,RWY,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,4
RJZ,RR8,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,LEEDS TEACHING HOSPITALS NHS TRUST,2
RN5,RWH,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,1
RBT,RN7,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,DARTFORD AND GRAVESHAM NHS TRUST,1
R1H,RCX,BARTS HEALTH NHS TRUST,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",1
RTR,RJL,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,3
RK9,RBK,PLYMOUTH HOSPITALS NHS TRUST,WALSALL HEALTHCARE NHS TRUST,1
RTD,RTF,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,1903
RTK,RGT,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3
RR8,RJL,LEEDS TEACHING HOSPITALS NHS TRUST,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,70
RLQ,RKB,WYE VALLEY NHS TRUST,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,31
RXC,RVV,EAST SUSSEX HEALTHCARE NHS TRUST,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,28
RFS,RAL,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,ROYAL FREE LONDON NHS FOUNDATION TRUST,1
RHQ,RXR,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,EAST LANCASHIRE HOSPITALS NHS TRUST,2
RNZ,RA7,SALISBURY NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,3
RJR,RBT,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,10
RYJ,RGR,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,WEST SUFFOLK NHS FOUNDATION TRUST,1
RD1,RTH,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,OXFORD UNIVERSITY HOSPITALS NHS TRUST,5
RNS,RRV,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,2
RDU,RYR,FRIMLEY HEALTH NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,9
RM1,RFR,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,THE ROTHERHAM NHS FOUNDATION TRUST,1
