"Code","Name","Primary_Role_Name","Non_Primary_Role_Name(s)","Postcode","UPRN","Geographic_Local_Authority_Code","Geographic_Local_Authority_Name","High_Level_Health_Geography_Code","High_Level_Health_Geography_Name","National_Grouping_Code","National_Grouping_Name","Geographic_Government_Office_Region_Code","Geographic_Government_Office_Region_Name"
"RW4","MERSEY CARE NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","L34 1PJ","10091806420","315","KNOWSLEY METROPOLITAN BOROUGH COUNCIL","QYG","NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD","Y62","NORTH WEST COMMISSIONING REGION","B","NORTH WEST GOVERNMENT OFFICE REGION"
"RAJ","MID AND SOUTH ESSEX NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","SS0 0RY","10024164612","621","SOUTHEND-ON-SEA CITY COUNCIL","QH8","NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD","Y61","EAST OF ENGLAND COMMISSIONING REGION","G","EAST OF ENGLAND GOVERNMENT OFFICE REGION"
"RBT","MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","CW1 4QJ","100012823668","326","CHESHIRE EAST COUNCIL","QYG","NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD","Y62","NORTH WEST COMMISSIONING REGION","B","NORTH WEST GOVERNMENT OFFICE REGION"
"RQ8","MID ESSEX HOSPITAL SERVICES NHS TRUST","NHS TRUST","HOSPICE","CM1 7ET","100091643865","620","ESSEX COUNTY COUNCIL","QH8","NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD","Y61","EAST OF ENGLAND COMMISSIONING REGION","G","EAST OF ENGLAND GOVERNMENT OFFICE REGION"
"RXF","MID YORKSHIRE TEACHING NHS TRUST","NHS TRUST","","WF1 4DG","63163184","213","WAKEFIELD METROPOLITAN DISTRICT COUNCIL","QWO","NHS WEST YORKSHIRE INTEGRATED CARE BOARD","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","D","YORKSHIRE & THE HUMBER GOVERNMENT OFFICE REGION"
"RRE","MIDLANDS PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","ST16 3SR","","413","STAFFORDSHIRE COUNTY COUNCIL","QNC","NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD","Y60","MIDLANDS COMMISSIONING REGION","F","WEST MIDLANDS GOVERNMENT OFFICE REGION"
"RD8","MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","MK6 5LD","25097921","613","MILTON KEYNES COUNCIL","QHG","NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD","Y61","EAST OF ENGLAND COMMISSIONING REGION","J","SOUTH EAST GOVERNMENT OFFICE REGION"
"RP6","MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","EC1V 2PD","5300019990","706","LONDON BOROUGH OF ISLINGTON","QMJ","NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD","Y56","LONDON COMMISSIONING REGION","H","LONDON GOVERNMENT OFFICE REGION"
"RYH","NHS DIRECT NHS TRUST","NHS TRUST","","E1 8EU","6005845","711","LONDON BOROUGH OF TOWER HAMLETS","QMF","NHS NORTH EAST LONDON INTEGRATED CARE BOARD","Y56","LONDON COMMISSIONING REGION","H","LONDON GOVERNMENT OFFICE REGION"
"RM1","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","NR4 7UY","2630106468","607","NORFOLK COUNTY COUNCIL","QMM","NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD","Y61","EAST OF ENGLAND COMMISSIONING REGION","G","EAST OF ENGLAND GOVERNMENT OFFICE REGION"
