hospital,infection_frequency,mean_epidemic_size,mean_epidemic_size_pct,mean_step_to_infection,provider,community_id,weighted_in_degree,cross_community_bridges
RTG,0.0655,12.6,10.0,11.31,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,9,744,74
RM3,0.065,5.1,4.1,9.05,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,0,439,61
RXF,0.0622,4.7,3.7,9.63,MID YORKSHIRE HOSPITALS NHS TRUST,5,1597,58
RBD,0.0622,3.9,3.1,9.86,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,1,1222,45
RAS,0.0602,15.6,12.5,11.32,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,2,604,42
RTD,0.0592,3.7,3.0,1.87,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,7,16329,83
RVR,0.0588,8.1,6.5,13.17,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,1,465,32
RR8,0.0577,6.0,4.8,8.11,LEEDS TEACHING HOSPITALS NHS TRUST,5,3336,102
R0D,0.0575,9.1,7.3,11.62,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,1,624,53
REM,0.0568,3.9,3.1,5.86,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,0,1840,44
RBN,0.0567,3.6,2.9,5.98,ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST,0,1229,35
RVJ,0.0566,8.5,6.8,2.09,NORTH BRISTOL NHS TRUST,3,10806,95
RR7,0.0542,4.8,3.8,2.81,GATESHEAD HEALTH NHS FOUNDATION TRUST,7,10436,27
RPA,0.0542,5.0,4.0,11.76,MEDWAY NHS FOUNDATION TRUST,2,578,39
RCX,0.0539,12.6,10.1,12.28,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",6,221,34
RA7,0.0534,6.1,4.9,2.39,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,3,1977,75
RN7,0.0528,4.7,3.7,11.3,DARTFORD AND GRAVESHAM NHS TRUST,2,488,37
RWD,0.0527,9.0,7.2,12.28,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,9,713,103
RXW,0.0509,14.7,11.8,12.73,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,4,400,66
R1K,0.0506,14.7,11.8,12.8,LONDON NORTH WEST HEALTHCARE NHS TRUST,2,847,74
RD8,0.0502,25.0,20.0,12.28,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,1,219,57
RK5,0.0492,9.8,7.8,12.96,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,9,584,79
RN5,0.0491,17.2,13.8,11.97,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,1,688,63
RLT,0.0438,4.6,3.7,13.17,GEORGE ELIOT HOSPITAL NHS TRUST,11,431,40
RQX,0.0438,10.2,8.2,13.56,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,8,91,43
RWP,0.0426,5.4,4.3,10.38,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,4,1312,65
RTP,0.042,13.5,10.8,13.55,SURREY AND SUSSEX HEALTHCARE NHS TRUST,1,502,66
RBS,0.0419,1.0,0.8,7.5,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,0,822,7
RYR,0.0411,11.8,9.4,12.3,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,2,695,79
RNS,0.0407,29.2,23.3,12.09,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,9,2298,75
RC9,0.0405,12.7,10.1,13.94,LUTON AND DUNSTABLE HOSPITAL NHS FOUNDATION TRUST,2,331,63
RNQ,0.0395,25.8,20.7,12.57,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,9,734,59
RWY,0.039,6.1,4.9,10.7,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,5,1778,67
RJL,0.0359,4.8,3.8,9.35,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,5,950,71
RD1,0.0358,8.9,7.1,4.88,ROYAL UNITED HOSPITAL BATH NHS FOUNDATION TRUST,3,227,56
RH5,0.0356,12.1,9.7,4.71,SOMERSET NHS FOUNDATION TRUST,3,1095,60
RK9,0.0334,11.7,9.4,4.8,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,3,1582,79
RWW,0.0328,3.4,2.7,9.71,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,0,41,19
RAE,0.0323,6.2,5.0,10.74,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,5,1506,45
RH8,0.0312,11.6,9.3,4.83,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,3,1520,92
RTF,0.0304,4.7,3.8,4.18,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,7,2112,38
RTE,0.03,20.0,16.0,5.08,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,3,575,58
RCD,0.0296,5.8,4.7,12.66,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,5,843,57
R1F,0.0285,5.2,4.1,12.42,ISLE OF WIGHT NHS TRUST,1,208,15
RTR,0.0285,5.9,4.7,3.05,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,7,3717,71
RCB,0.0282,5.3,4.3,12.62,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,5,537,62
RBT,0.026,19.7,15.8,13.38,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,0,562,67
R0B,0.0246,4.7,3.8,4.28,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,7,1594,29
RA9,0.0242,7.1,5.7,8.37,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,3,70,43
REF,0.0234,16.3,13.1,7.82,ROYAL CORNWALL HOSPITALS NHS TRUST,3,108,85
RXP,0.0218,5.9,4.7,3.94,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,7,646,49
RXN,0.0217,8.2,6.6,2.12,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,0,1593,50
RWG,0.0203,14.9,11.9,15.06,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,2,242,50
RXL,0.02,6.2,4.9,2.69,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,0,1223,42
RNN,0.0198,4.9,3.9,3.83,CUMBRIA PARTNERSHIP NHS FOUNDATION TRUST,7,1111,37
RCF,0.0192,5.9,4.7,14.1,AIREDALE NHS FOUNDATION TRUST,5,243,20
RXC,0.0182,7.8,6.3,14.32,EAST SUSSEX HEALTHCARE NHS TRUST,2,51,40
RMC,0.0177,5.1,4.1,14.55,BOLTON NHS FOUNDATION TRUST,0,132,23
RVW,0.0177,6.3,5.1,4.7,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,7,310,20
RXR,0.0158,7.1,5.7,4.01,EAST LANCASHIRE HOSPITALS NHS TRUST,0,521,43
RTX,0.0138,10.6,8.4,3.96,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,0,354,36
RJR,0.0134,5.2,4.2,1.18,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,0,593,20
