hospital,provider,community_id,weighted_in_degree,weighted_out_degree,total_transfers,cross_community_bridges
RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,4,41394,5928,47322,166
RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,4,6529,6071,12600,63
RQ3,BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,4,5779,7291,13070,83
RJE,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,4,3803,2453,6256,119
RBK,WALSALL HEALTHCARE NHS TRUST,4,2223,6546,8769,49
RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,4,1312,5938,7250,65
RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,4,799,6919,7718,39
RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,4,400,5583,5983,66
RLQ,WYE VALLEY NHS TRUST,4,216,3616,3832,35
RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,4,189,11589,11778,30
RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,5,34662,1864,36526,147
RR8,LEEDS TEACHING HOSPITALS NHS TRUST,5,3336,6075,9411,102
RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,5,1778,1399,3177,67
RXF,MID YORKSHIRE HOSPITALS NHS TRUST,5,1597,1152,2749,58
RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,5,1506,1585,3091,45
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,5,950,24970,25920,71
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,5,843,1340,2183,57
RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,5,537,10926,11463,62
RCF,AIREDALE NHS FOUNDATION TRUST,5,243,2144,2387,20
RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6,22790,2973,25763,171
RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,6,3150,2755,5905,87
RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6,2583,3758,6341,65
RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,6,1647,2015,3662,102
RGR,WEST SUFFOLK NHS FOUNDATION TRUST,6,676,6944,7620,48
RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6,307,2384,2691,43
RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",6,221,3122,3343,34
RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,6,193,5741,5934,55
RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,6,136,2619,2755,39
RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,7,16329,12969,29298,83
RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,7,10436,4809,15245,27
RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,7,3717,1338,5055,71
RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,7,2112,7820,9932,38
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,7,1594,2314,3908,29
RNN,CUMBRIA PARTNERSHIP NHS FOUNDATION TRUST,7,1111,1943,3054,37
RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,7,646,4306,4952,49
RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,7,310,1844,2154,20
RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,8,30496,5177,35673,111
