Code,Name,Postcode,latitude,longitude,geocoded
RYK,DUDLEY INTEGRATED HEALTH AND CARE NHS TRUST,DY5 1RU,52.481734,-2.117836,True
RC3,EALING HOSPITAL NHS TRUST,UB1 3HW,51.507606,-0.345474,True
RWH,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,SG1 4AB,51.924246,-0.211889,True
RJN,EAST CHESHIRE NHS TRUST,SK10 3BL,53.262339,-2.141072,True
RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,CT1 3NG,51.266593,1.087113,True
RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,BB2 3HH,53.735575,-2.462715,True
RWK,EAST LONDON NHS FOUNDATION TRUST,E1 8DE,51.513374,-0.071866,True
RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,NG8 6PY,52.98148,-1.238122,True
RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,SG8 6NA,52.076599,0.01429,True
RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,CO4 5JL,51.910175,0.899213,True
RXC,EAST SUSSEX HEALTHCARE NHS TRUST,TN37 7PT,50.88769,0.561978,True
RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,SM5 1AA,51.380188,-0.183708,True
R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,SS11 7XX,51.633013,0.543374,True
RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,GU16 7UJ,51.319666,-0.742011,True
RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,NE9 6SX,54.939388,-1.580794,True
RLT,GEORGE ELIOT HOSPITAL NHS TRUST,CV10 7DJ,52.512597,-1.478431,True
R1J,GLOUCESTERSHIRE CARE SERVICES NHS TRUST,GL3 4AW,51.844174,-2.177447,True
RTQ,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,GL3 4AW,51.844174,-2.177447,True
RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,GL53 7AN,51.892128,-2.071875,True
RP4,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,WC1N 3JH,51.522212,-0.119898,True
RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,SN3 6BB,51.538529,-1.727188,True
RXV,GREATER MANCHESTER MENTAL HEALTH NHS FOUNDATION TRUST,M25 3BL,53.536765,-2.291464,True
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,SE1 7EH,51.49796,-0.11888,True
RQN,HAMMERSMITH HOSPITALS NHS TRUST,W12 0HS,51.517422,-0.234698,True
