Code,Name,Postcode,latitude,longitude,geocoded,hospital,provider,community_id,weighted_in_degree,weighted_out_degree,total_transfers,cross_community_bridges,node_size
RXC,EAST SUSSEX HEALTHCARE NHS TRUST,TN37 7PT,50.88769,0.561978,True,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,2,51,2097,2148,40,6.0062267498426145
RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,SM5 1AA,51.380188,-0.183708,True,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,1,465,3490,3955,32,6.082046586161506
RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,GU16 7UJ,51.319666,-0.742011,True,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,1,4077,6223,10300,85,6.743547187088651
RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,NE9 6SX,54.939388,-1.580794,True,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,7,10436,4809,15245,27,7.9081325473587825
RLT,GEORGE ELIOT HOSPITAL NHS TRUST,CV10 7DJ,52.512597,-1.478431,True,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,11,431,13056,13487,40,6.075819836318892
RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,GL53 7AN,51.892128,-2.071875,True,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,3,575,1766,2341,58,6.102191953299376
RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,SN3 6BB,51.538529,-1.727188,True,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,3,255,1689,1944,42,6.0435872488983
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,SE1 7EH,51.49796,-0.11888,True,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,2,52240,7655,59895,159,15.56410461855434
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,RG24 9NA,51.280633,-1.1099,True,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,1,688,3125,3813,63,6.1228867395410065
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,HG2 7SX,53.993822,-1.517579,True,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,5,843,1340,2183,57,6.151273393235277
RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,E9 6SR,51.550635,-0.046072,True,RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,8,91,2549,2640,43,6.013552337892749
RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,HU3 2JZ,53.744134,-0.358153,True,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,5,34662,1864,36526,147,12.344874949922737
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,W2 1BL,51.517542,-0.174387,True,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,2,3005,4652,7657,99,6.547221427345047
R1F,ISLE OF WIGHT NHS TRUST,PO30 5TG,50.710832,-1.301363,True,R1F,ISLE OF WIGHT NHS TRUST,1,208,766,974,15,6.034979682939392
RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NR31 6LA,52.561697,1.718003,True,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6,307,2384,2691,43,6.0531105133634755
RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,NN16 8UZ,52.402797,-0.741279,True,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,9,734,3421,4155,59,6.131311165798661
