Code,Name,Postcode,latitude,longitude,geocoded,hospital,provider,community_id,weighted_in_degree,weighted_out_degree,total_transfers,cross_community_bridges,node_size
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,PL6 8DH,50.416707,-4.113712,True,RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,3,1582,1090,2672,79,6.286613632461512
RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,BN11 2DH,50.816683,-0.363404,True,RYR,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,2,695,2643,3338,79,6.12416871744978
RBK,WALSALL HEALTHCARE NHS TRUST,WS2 9PS,52.582346,-1.998918,True,RBK,WALSALL HEALTHCARE NHS TRUST,4,2223,6546,8769,49,6.404006180964918
RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,WA5 1QG,53.393989,-2.610717,True,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,0,41,1158,1199,19,6.00439535283008
RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,WD18 0HB,51.648926,-0.404165,True,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,2,242,6054,6296,50,6.0412064327820065
RGR,WEST SUFFOLK NHS FOUNDATION TRUST,IP33 2QZ,52.231679,0.709205,True,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,6,676,6944,7620,48,6.120689063125965
RKE,WHITTINGTON HEALTH NHS TRUST,N19 5NF,51.566482,-0.139066,True,RKE,THE WHITTINGTON HEALTH NHS TRUST,8,13759,1223,14982,61,8.516705774623706
RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,CH49 5PE,53.36964,-3.096815,True,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,0,198,1031,1229,31,6.033148285926859
RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,WR5 1DD,52.191205,-2.181154,True,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,4,1312,5938,7250,65,6.237165913123104
RRF,"WRIGHTINGTON, WIGAN AND LEIGH TEACHING HOSPITALS NHS FOUNDATION TRUST",WN1 2NN,53.557755,-2.629091,True,RRF,"WRIGHTINGTON, WIGAN AND LEIGH TEACHING HOSPITALS NHS FOUNDATION TRUST",0,203,2109,2312,28,6.034063984433125
RLQ,WYE VALLEY NHS TRUST,HR1 2ER,52.058529,-2.707776,True,RLQ,WYE VALLEY NHS TRUST,4,216,3616,3832,35,6.036444800549419
RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,BA21 4AT,50.944835,-2.634713,True,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,3,125,1369,1494,15,6.019779087735363
RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,YO31 8HE,53.96897,-1.084294,True,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,5,537,10926,11463,62,6.095232644651748
